session,run_id,filename,formula,elements,supercell size,image distance (target),image distance (actual),sample size,relaxer,connectivity_done,properties_done,provenance,source_folder
S.1.basic5,S.1.1,DoublePerov,Cs1Sn0.5Pb0.5I3,"['Cs', 'Sn', 'Pb', 'I']","[3, 3, 3]",15.0,17.77485,400.0,CHGNET,True,True,Andy,S.1.basic5
S.1.basic5,S.1.2,Gehlenite,Ca2Al2SiO7,"['Ca', 'Al' ,'Si', 'O']","[2, 2, 3]",15.0,15.267,400.0,CHGNET,True,True,Ohkotnikov,S.1.basic5
S.1.basic5,S.1.3,Hanada-P1,In4.8Cu1.6Se8,"['In', 'Cu', 'Se']","[3, 3, 2]",15.0,17.28,400.0,CHGNET,True,True,Hanada,S.1.basic5
S.1.basic5,S.1.4,Verkelis,In2.68Te4,"['In', 'Te']","[3, 3, 3]",15.0,18.489,400.0,CHGNET,True,True,ICSD,S.1.basic5
S.1.basic5,S.1.5,Spinel-113,V10.6672Zn10.72O32,"['V', 'Zn', 'O']","[2, 2, 2]",15.0,16.794,400.0,CHGNET,True,True,Andy,S.1.basic5
S.11.ice-112,S.11.1,Ice-Ih-119913,H2O,"['H', 'O']","[1, 1, 2]",4.4948,4.4948,2.0,CHGNET,False,False,ICSD,S.11.ice-112
S.2.HEA,S.2.1,High-entropy_CollCode64141,Hf0.11Zr0.11Ti0.11Nb0.10998Re0.56,"['Hf', 'Zr', 'Ti', 'Nb', 'Re']","[3, 3, 2]",15.0,15.7662,400.0,CHGNET,False,True,ICSD,S.2.HEA
S.2.HEA,S.2.2,High-entropy_CollCode137170,La0.2Ce0.22Pr0.38Nd0.6Sm0.6Bi2S4O1F1,"['La', 'Ce', 'Pr', 'Nd', 'Sm', 'Bi', 'S', 'O', 'F']","[4, 4, 2]",15.0,16.0314,400.0,CHGNET,False,True,ICSD,S.2.HEA
S.2.HEA,S.2.3,High-entropy_CollCode149268,Hf0.4Zr0.4Ta0.4Ti0.4Mo0.4H3,"['Hf', 'Zr', 'Ta', 'Ti', 'Mo', 'H']","[5, 5, 5]",15.0,17.3,400.0,CHGNET,False,True,ICSD,S.2.HEA
S.2.HEA,S.2.4,High-entropy_CollCode149264,Hf0.4Zr0.4Ta0.4Ti0.4Mo0.4H3,"['Hf', 'Zr', 'Ta', 'Ti', 'Mo', 'H']","[5, 5, 4]",15.0,16.445,400.0,CHGNET,False,True,ICSD,S.2.HEA
